cluster_id,event_id,n_pixel_triggered,n_tile_triggered,n_pixel_time_samples,n_tile_time_samples,pixel_charge,tile_charge,charge_ratio_pixel_over_tile,pixel_centroid_x,pixel_centroid_y,tile_centroid_x,tile_centroid_y,pixel_width_x,pixel_width_y,tile_width_x,tile_width_y,pixel_span_x,pixel_span_y,tile_span_x,tile_span_y,pixel_time_mean,pixel_time_width_moment,pixel_time_gauss_mean,pixel_time_gauss_sigma,pixel_time_gauss_amp,pixel_time_gauss_baseline,pixel_time_gauss_success,tile_time_mean,tile_time_width_moment,tile_time_gauss_mean,tile_time_gauss_sigma,tile_time_gauss_amp,tile_time_gauss_baseline,tile_time_gauss_success,pixel_time_min,pixel_time_max,tile_time_min,tile_time_max,dominant_segment_id,drift_length,matched_tile_global_rows
27,0,4,2,12,15,4357.214797973633,5192.811363220215,0.8390859003342644,-853.6508615744497,-530.1000895393221,-855.0,-532.1541067480632,0.19935091009218922,0.22908968575273422,0.0,4.512186179442136,0.5,0.5,0.0,10.0,-2329.786247644009,1.0094524966387466,-2329.8209469550675,0.7777008990586617,1554.1314693512732,265.9435465259895,True,-2329.767058598712,1.2869988690304346,-2329.7598960324485,0.9992078109342284,1713.7096606160048,112.6080308301993,True,-2331.94580078125,-2327.94580078125,-2332.94580078125,-2325.94580078125,8467,90.98031616210938,720;722
28,0,3,1,7,8,1619.5257873535156,3150.9047775268555,0.5139875374541407,-974.3657387008417,-517.3086167294605,-975.0,-515.0,0.21088836750357437,0.16084913353081248,0.0,0.0,0.5,0.5,0.0,0.0,-2145.8303657674023,1.1279573736303226,-2144.965530579349,0.24260193903614566,1070.4850140578328,340.19226444312847,True,-2145.917372082635,1.694937996562271,-2145.925315911732,2.005691154270572,731.8644945976132,-45.884105885091664,True,-2147.44580078125,-2144.44580078125,-2149.44580078125,-2142.44580078125,9446,653.243377685547,228
29,0,4,1,15,10,3714.44140625,4770.841773986816,0.7785714937148247,-786.5044773452231,-428.88247665962047,-785.0,-425.0,0.2499599035440545,0.22065417391483189,0.0,0.0,0.5,0.5,0.0,0.0,-2137.429324907023,1.5156487198012385,-2136.4737925683785,0.2721661333444833,2008.4994925446204,493.66871691827663,True,-2137.461525799112,1.8763385712878202,-2137.341483460759,1.707900742308853,970.9356636092507,62.68221465563236,True,-2139.94580078125,-2134.94580078125,-2141.94580078125,-2132.94580078125,8712,340.74195289611816,979
30,0,4,1,20,9,8781.203109741211,9313.720054626465,0.9428244630757682,-995.135708600844,-337.44938137406683,-995.0,-335.0,0.2099599382190687,0.24482188363917995,0.0,0.0,0.5,0.5,0.0,0.0,-2107.0627316509267,1.2820366851140779,-2106.90656316833,1.3006236293111664,2419.698698440969,186.6548994542069,True,-2107.0360441908665,1.4649834965010073,-2106.9863349814636,1.5647524618640798,2491.871380389373,-39.31451663260061,True,-2109.94580078125,-2104.94580078125,-2111.94580078125,-2103.94580078125,9193,330.6859258069426,186
31,0,4,1,18,9,7971.2987060546875,8913.8440284729,0.8942605098981424,-924.8818972492315,-381.4199223365355,-925.0,-385.0,0.2203445943537465,0.23682813982730488,0.0,0.0,0.5,0.5,0.0,0.0,-2101.1073200006163,1.2398071628949383,-2101.0763711862187,6.644205812901462,26518.761555938127,-24334.051307192054,True,-2101.10556197585,1.4323680545433688,-2101.0290256102458,1.4443973428025816,2454.0701658331864,16.1783769054621,True,-2103.44580078125,-2098.44580078125,-2105.44580078125,-2096.44580078125,8927,47.0419921875,438
32,0,2,4,5,11,2021.0172882080078,2506.409605026245,0.8063395879728307,-914.25,-460.4913396674861,-912.4166130429215,-462.2632493157978,0.0,0.24984995225284526,4.377211601097374,4.458441715951973,0.0,0.5,10.0,10.0,-2064.323390137287,0.5247706013112481,,,,,False,-2064.6580133283173,1.0155403286906062,,,,,False,-2065.44580078125,-2063.44580078125,-2066.94580078125,-2061.44580078125,5325,-37.61660915016676,478;479;517;518
33,0,3,2,7,8,5820.553421020508,7440.676074981689,0.7822613647422935,-915.6409196289586,-457.6762115379772,-915.0,-455.06223596551445,0.34121858125980387,0.17734005154985824,0.0,0.7864390248081685,1.0,0.5,0.0,10.0,-2059.7512947988016,0.9251024410381041,-2060.358400672729,0.22670837679983677,12948.167892800517,724.4339249639579,True,-2059.2383489811164,1.3938276138822572,-2058.7264675811443,109.94981249112449,2506390.9160772148,-2505091.3619254287,True,-2060.94580078125,-2057.94580078125,-2061.94580078125,-2056.94580078125,5327,-36.6329298288351,478;479
34,0,2,1,8,9,8705.442184448242,9620.361967086792,0.9048975718617787,-993.75,-403.71078329939434,-995.0,-405.0,0.0,0.13442619051526422,0.0,0.0,0.0,0.5,0.0,0.0,-2018.8598393519915,0.9776911785106561,-2018.905083092808,1.0544311165508518,3382.5752058656835,-4.198480908307036,True,-2018.891963473273,1.1360209571492659,-2018.9227505593328,1.0922917779770447,3479.5061801564925,10.473345168889306,True,-2020.44580078125,-2016.44580078125,-2022.44580078125,-2014.44580078125,9539,652.7699628247675,180
35,0,2,1,10,7,8418.683044433594,8837.875061035156,0.9525686871893317,-889.4765917575164,-595.75,-885.0,-595.0,0.2489016958235298,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-1994.752864520614,0.9885361894750526,-1994.7234190666522,0.9149227026797697,3151.4391339309327,245.9526145226174,True,-1994.7296639986887,1.046093716127978,-1994.740074332147,0.947454407632687,3452.795744287757,91.3005684397399,True,-1996.94580078125,-1992.94580078125,-1997.94580078125,-1991.94580078125,8917,243.36530608611605,576
36,0,5,2,11,13,2143.2391204833984,2976.2339515686035,0.720117825197787,-883.1667987956712,-595.1279809298378,-885.0,-595.0,0.26793157045296984,0.21475772767902837,0.0,0.0,1.0,0.5,0.0,0.0,-1984.7789796890875,1.2023537011983378,-1984.713442793487,0.6705918669321905,458.54054573038945,274.5078412429264,True,-1984.63622112455,1.6436188973899861,-1984.6531365792362,1.7749780891011182,712.7661302386422,-17.700705428552112,True,-1986.94580078125,-1982.94580078125,-1988.94580078125,-1980.94580078125,9257,157.30477905273438,576;577
